articleID,reportedValue,obtainedValue,valueType,percentageError,comparisonOutcome,eyeballCheck
3-10-2014_PS,<.01,0.264,p,NA,EYEBALL_ERROR,FALSE
3-10-2014_PS,<.01,0.0125,p,NA,EYEBALL_ERROR,FALSE
3-10-2014_PS,<.01,0.1056,p,NA,EYEBALL_ERROR,FALSE
3-10-2014_PS,<.01,4.564e-4,p,NA,MATCH,TRUE
3-10-2014_PS,<.01,9.524e-4,p,NA,MATCH,TRUE
3-10-2014_PS,0.09,0.02,p,77.77777777777777,DECISION_ERROR,NA
3-10-2014_PS,<.01,3.67e-5,p,NA,MATCH,TRUE
3-10-2014_PS,<.9,4.59e-5,p,NA,EYEBALL_ERROR,FALSE
3-10-2014_PS,<.9,0.1944,p,NA,EYEBALL_ERROR,FALSE
